M,tempscreacio,tempsbocom,tempsdolcom,compbo,compdol
387,8.2e-05,1.41275e-06,1.44761e-06,2.34315,2.61445
388,8.2e-05,1.42797e-06,1.42625e-06,2.31296,2.58291
389,8.3e-05,1.93888e-06,1.82096e-06,2.35774,2.54222
390,8.6e-05,1.47699e-06,1.44456e-06,2.32032,2.52391
391,8.5e-05,1.40015e-06,1.35605e-06,2.22602,2.38149
392,8.6e-05,1.37633e-06,1.41811e-06,2.22727,2.54527
393,8.3e-05,1.36784e-06,1.45168e-06,2.21617,2.50356
394,8.2e-05,1.46963e-06,1.59308e-06,2.25458,2.6175
395,0.000125,1.37445e-06,1.36317e-06,2.24648,2.50254
396,8.3e-05,1.39491e-06,1.41302e-06,2.26506,2.57375
397,8.3e-05,1.40476e-06,1.43133e-06,2.30223,2.60326
398,8.5e-05,1.412e-06,1.42014e-06,2.29225,2.46185
399,8.3e-05,1.40402e-06,1.40793e-06,2.2693,2.50051
400,9.5e-05,1.47399e-06,1.46999e-06,2.29649,2.47406
401,8.4e-05,1.39042e-06,1.38047e-06,2.24224,2.48525
